Id,Label,Community
RHAEGAR,Rhaegar,Meereen
RICKON,Rickon,Winterfell
ROBB,Robb,Eyrie
ROBB_DWARF,Robb Dwarf,Dwarf Troup
ROBERT,Robert,King's Landing
ROBIN,Robin,Eyrie
ROOSE_BOLTON,Roose,Winterfell
RORGE,Rorge,Riverlands
SALLADHOR,Salladhor,Dragonstone
SALLY,Sally,Riverlands
SAM,Sam,Castle Black
HOUND,Sandor,Riverlands
SANSA,Sansa,Eyrie
SELWYN,Selwyn,Riverlands
SELYSE,Selyse,Dragonstone
SHAE,Shae,King's Landing
SHIREEN,Shireen,Dragonstone
SISSY,Sissy,Castle Black
STANNIS,Stannis,Dragonstone
STANNIS_DWARF,Stannis Dwarf,Dwarf Troup
STYR,Styr,Castle Black
SYRIO_FOREL,Syrio Forel,Riverlands
TANSY,Tansy,Winterfell
TERNESIO_TERYS,Ternesio Terys,Riverlands
THENN_WARG,Thenn Warg,Castle Black
THEON,Theon,Winterfell
THREE_EYED_RAVEN,Three Eyed Raven,Beyond the wall
TOMMEN,Tommen,King's Landing
TOMMY,Tommy,Riverlands
TORMUND,Tormund,Castle Black
TYCHO,Tycho,Dragonstone
TYRION,Tyrion,King's Landing
TYWIN,Tywin,King's Landing
VANCE_CORBRAY,Vance Corbray,Eyrie
VARYS,Varys,King's Landing
VIOLA,Viola,King's Landing
VISERYS,Viserys,Meereen
WALDA,Walda,Winterfell
WHITE_WALKER,White Walker,Beyond the wall
YARA,Yara,Winterfell
YGRITTE,Ygritte,Castle Black
YOHN_ROYCE,Yohn Royce,Eyrie
ZALA,Zala,Meereen
